REMOVE,BBS_NAME,CODES,CN,EN,SN
,灰雁,"GRGO,ANAN",灰雁,Graylag Goose,Anser anser
,灰雁(馴化),"GRGO,ANAN",灰雁(馴化),Graylag Goose (Domestic type),Anser anser (Domestic type)
,鴻雁,"SWGO,ANCY",鴻雁,Swan Goose,Anser cygnoides
,鴻雁(馴化),"SWGO,ANCY",鴻雁(馴化),Swan Goose (Domestic type),Anser cygnoides (Domestic type)
,白額雁,"GWFG,ANAL",白額雁,Greater White-fronted Goose,Anser albifrons
,小白額雁,"LWFG,ANER",小白額雁,Lesser White-fronted Goose,Anser erythropus
X,白額雁/小白額雁,"GWFG,LWFG,ANER,ANAL",白額雁/小白額雁,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus
,寒林豆雁,"TABG,TBGO,ANFA",寒林豆雁,Taiga Bean-Goose,Anser fabalis
,凍原豆雁,"TUBG,TBGO,ANSE",凍原豆雁,Tundra Bean-Goose,Anser serrirostris
,寒林/凍原豆雁,"TABG,TUBG,TBGO,ANSE,ANFA",寒林/凍原豆雁,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris
,家鵝(馴化),DGSP,家鵝(馴化),Domestic goose sp. (Domestic type),Anser sp. (Domestic type)
,雁屬(XX雁),,雁屬,Anser sp.,Anser sp.
X,雁類(XX雁),UNGO,雁類,goose sp.,Anser/Branta sp.
,黑天鵝,"BLSW,CYAT",黑天鵝,Black Swan,Cygnus atratus
,小天鵝,"TUSW,BESW,CYCO",小天鵝,Tundra Swan,Cygnus columbianus
,黃嘴天鵝,"WHOS,WHSW,CYCY",黃嘴天鵝,Whooper Swan,Cygnus cygnus
X,小/黃嘴天鵝,"BESW,TUSW,WHOS,WHSW,CYCO,CYCY",小/黃嘴天鵝,Tundra/Whooper Swan,Cygnus columbianus/cygnus
,天鵝屬(XX天鵝),,天鵝屬,swan sp.,Cygnus sp.
,瀆鳧,"RUSH,TAFE",瀆鳧,Ruddy Shelduck,Tadorna ferruginea
,花鳧,"COMS,COSH,TATA",花鳧,Common Shelduck,Tadorna tadorna
,疣鼻棲鴨(薑母鴨)(馴化),"MUDU,CAMO",疣鼻棲鴨(薑母鴨)(馴化),Muscovy Duck (Domestic type),Cairina moschata (Domestic type)
,棉鴨,"COPG,CPGO,NECO",棉鴨,Cotton Pygmy-Goose,Nettapus coromandelianus
,鴛鴦,"MADU,AIGA",鴛鴦,Mandarin Duck,Aix galericulata
,巴鴨,"BATE,SIFO",巴鴨,Baikal Teal,Sibirionetta formosa
,白眉鴨,"GARG,SPQU",白眉鴨,Garganey,Spatula querquedula
,琵嘴鴨,"NSHO,KOMO,NOSH,SPCL",琵嘴鴨,Northern Shoveler,Spatula clypeata
,赤膀鴨,"GADW,MAST",赤膀鴨,Gadwall,Mareca strepera
,羅文鴨,"FADU,MAFA",羅文鴨,Falcated Duck,Mareca falcata
,赤頸鴨,"EUWI,MAPE",赤頸鴨,Eurasian Wigeon,Mareca penelope
,葡萄胸鴨,"AMWI,MAAM",葡萄胸鴨,American Wigeon,Mareca americana
,花嘴鴨,"ESBD,ANZO",花嘴鴨,Eastern Spot-billed Duck,Anas zonorhyncha
,綠頭鴨,"MALL,ANPL",綠頭鴨,Mallard,Anas platyrhynchos
,綠頭鴨(馴化),"MALL,ANPL",綠頭鴨(馴化),Mallard (Domestic type),Anas platyrhynchos (Domestic type)
,尖尾鴨,"NOPI,KOMA,ANAC",尖尾鴨,Northern Pintail,Anas acuta
,小水鴨,"GWTE,EUTE,EGWT,EWTE,ANCR",小水鴨,Green-winged Teal,Anas crecca
X,白眉鴨/小水鴨,"GWTE,EUTE,EWTE,GARG,EGWT,ANCR,SPQU",白眉鴨/小水鴨,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca
,鴨屬(XX鴨),,鴨屬,Anas sp.,Anas sp.
,紅頭潛鴨,"COMP,COPO,AYFE",紅頭潛鴨,Common Pochard,Aythya ferina
,白眼潛鴨,"FEDU,AYNY",白眼潛鴨,Ferruginous Duck,Aythya nyroca
,青頭潛鴨,"BAPO,AYBA",青頭潛鴨,Baer's Pochard,Aythya baeri
X,白眼/青頭潛鴨,"FEDU,BAPO,AYBA,AYNY",白眼/青頭潛鴨,Ferruginous Duck/Baer's Pochard,Aythya nyroca/baeri
,鳳頭潛鴨,"TUDU,AYFU",鳳頭潛鴨,Tufted Duck,Aythya fuligula
,斑背潛鴨,"GRSC,AYMA",斑背潛鴨,Greater Scaup,Aythya marila
,潛鴨屬(XX潛鴨),,潛鴨屬,Aythya sp.,Aythya sp.
,白秋沙,"SMEW,MEAL",白秋沙,Smew,Mergellus albellus
,川秋沙,"COME,GOOS,MEME",川秋沙,Common Merganser,Mergus merganser
,紅胸秋沙,"RBME,MESE",紅胸秋沙,Red-breasted Merganser,Mergus serrator
X,川秋沙/紅胸秋沙,"GOOS,RBME,COME,MEME,MESE",川秋沙/紅胸秋沙,Common/Red-breasted Merganser,Mergus merganser/serrator
,唐秋沙,"SSME,MESQ",唐秋沙,Scaly-sided Merganser,Mergus squamatus
,秋沙類(XX秋沙),,秋沙類,merganser sp.,Mergellus/Lophodytes/Mergus sp.
X,鴨類(鴨亞科)(XX鴨),,鴨類(鴨亞科),duck sp.,Anatinae sp.
,雁鴨類(雁鴨科)(XX雁鴨),UNDU,雁鴨類(雁鴨科),waterfowl sp.,Anatidae sp.
,普通珠雞(馴化),"HEGU,NUME",普通珠雞(馴化),Helmeted Guineafowl (Domestic type),Numida meleagris (Domestic type)
,台灣山鷓鴣,"TAPA,ARCR",台灣山鷓鴣,Taiwan Partridge,Arborophila crudigularis
,藍孔雀,"INPE,PACR",藍孔雀,Indian Peafowl,Pavo cristatus
X,藍孔雀(馴化),"INPE,PACR",藍孔雀(馴化),Indian Peafowl (Domestic type),Pavo cristatus (Domestic type)
,小鵪鶉,"KIQU,BBQU,SYCH",小鵪鶉,Blue-breasted Quail,Synoicus chinensis
,鵪鶉,"JAQU,COJA",鵪鶉,Japanese Quail,Coturnix japonica
,台灣竹雞,"TABP,TBPA,BASO",台灣竹雞,Taiwan Bamboo-Partridge,Bambusicola sonorivox
,臺灣竹雞,"TABP,TBPA,BASO",台灣竹雞,Taiwan Bamboo-Partridge,Bambusicola sonorivox
,黑長尾雉,"MIPH,SYMI",黑長尾雉,Mikado Pheasant,Syrmaticus mikado
,帝雉,"MIPH,SYMI",黑長尾雉,Mikado Pheasant,Syrmaticus mikado
,環頸雉,"RNEP,RNPH,COPH,PHCO",環頸雉,Ring-necked Pheasant,Phasianus colchicus
,藍腹鷴,"SWPH,LOSW",藍腹鷴,Swinhoe's Pheasant,Lophura swinhoii
,雉類(雉亞科),,雉類(雉亞科),pheasant sp.,Phasianinae sp.
,火雞(馴化),"WITU,MEGA",火雞(馴化),Wild Turkey (Domestic type),Meleagris gallopavo (Domestic type)
,大紅鸛,"GRFL,PHRO",大紅鸛,Greater Flamingo,Phoenicopterus roseus
,小鸊鷉,"LIGR,TARU",小鸊鷉,Little Grebe,Tachybaptus ruficollis
,冠鸊鷉,"GCGR,POCR",冠鸊鷉,Great Crested Grebe,Podiceps cristatus
,黑頸鸊鷉,"EAGR,BNGR,PONI",黑頸鸊鷉,Eared Grebe,Podiceps nigricollis
,鸊鷉屬(XX鸊鷉),,鸊鷉屬,Podiceps sp.,Podiceps sp.
,鸊鷈科(XX鸊鷉),,鸊鷈科,grebe sp.,Podicipedidae sp.
,野鴿(野化),"ROPI,ROPI,FEPI,MANŪ,RODO,COLI",野鴿(野化),Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon)
,灰林鴿,"ASWP,AWPI,COPU",灰林鴿,Ashy Wood-Pigeon,Columba pulchricollis
,黑林鴿,"JWPI,JAWP,COJA",黑林鴿,Japanese Wood-Pigeon,Columba janthina
,鴿屬(XX鴿),,鴿屬,Columba sp.,Columba sp.
,金背鳩,"ORTD,OTDO,RTDO,STOR",金背鳩,Oriental Turtle-Dove,Streptopelia orientalis
,灰斑鳩,"EUCD,CODO,ECDO,STDE",灰斑鳩,Eurasian Collared-Dove,Streptopelia decaocto
,紅鳩,"RCDO,RECD,RTDO,STTR",紅鳩,Red Collared-Dove,Streptopelia tranquebarica
,珠頸斑鳩,"SPDO,STCH",珠頸斑鳩,Spotted Dove,Streptopelia chinensis
,斑鳩屬(XX鳩),,斑鳩屬,Streptopelia sp.,Streptopelia sp.
,斑尾鵑鳩,"BACD,BCDO,MAUN",斑尾鵑鳩,Barred Cuckoo-Dove,Macropygia unchall
,長尾鳩,"PHCD,PCDO,MATE",長尾鳩,Philippine Cuckoo-Dove,Macropygia tenuirostris
,翠翼鳩,"AEDO,CEDO,CHIN",翠翼鳩,Asian Emerald Dove,Chalcophaps indica
,斑馬鳩,"ZEBD,ZEDO,GEST",斑馬鳩,Zebra Dove,Geopelia striata
,綠鳩,"WBPI,WBGP,TRSI",綠鳩,White-bellied Green-Pigeon,Treron sieboldii
,紅頭綠鳩,"WGPI,WHGP,TRFO",紅頭綠鳩,Whistling Green-Pigeon,Treron formosae
,綠鳩屬(XX綠鳩),,綠鳩屬,green-pigeon sp.,Treron sp.
,小綠鳩,"BCFD,PTLE",小綠鳩,Black-chinned Fruit-Dove,Ptilinopus leclancheri
,鳩鴿科(XX鳩鴿),,鳩鴿科,pigeon/dove sp.,Columbidae sp.
,褐翅鴉鵑,"GRCO,CESI",褐翅鴉鵑,Greater Coucal,Centropus sinensis
,番鵑,"LECO,CEBE",番鵑,Lesser Coucal,Centropus bengalensis
,鴉鵑屬,,鴉鵑屬,coucal sp.,Centropus sp.
,冠郭公,"CWCU,CLCO",冠郭公,Chestnut-winged Cuckoo,Clamator coromandus
,斑翅鳳頭鵑,"PICU,JACU,CLJA",斑翅鳳頭鵑,Pied Cuckoo,Clamator jacobinus
,噪鵑,"ASKO,EUSC",噪鵑,Asian Koel,Eudynamys scolopaceus
,八聲杜鵑,"PLCU,CAME",八聲杜鵑,Plaintive Cuckoo,Cacomantis merulinus
,方尾烏鵑,"STDC,SULU",方尾烏鵑,Square-tailed Drongo-Cuckoo,Surniculus lugubris
,鷹鵑,"LHCU,LAHC,HISP",鷹鵑,Large Hawk-Cuckoo,Hierococcyx sparverioides
,北方鷹鵑,"NHCU,NOHC,RUHC,RHCU,HIHY",北方鷹鵑,Northern Hawk-Cuckoo,Hierococcyx hyperythrus
,棕腹鷹鵑,"HOHC,HHCU,HINI",棕腹鷹鵑,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor
,鷹鵑屬,,鷹鵑屬,hawk-cuckoo sp.,Hierococcyx sp.
,小杜鵑,"LECU,CUPO",小杜鵑,Lesser Cuckoo,Cuculus poliocephalus
,四聲杜鵑,"INCU,CUMI",四聲杜鵑,Indian Cuckoo,Cuculus micropterus
,大杜鵑,"COCU,CUCA",大杜鵑,Common Cuckoo,Cuculus canorus
,北方中杜鵑,"ORCU,CUOP",北方中杜鵑,Oriental Cuckoo,Cuculus optatus
,大杜鵑/北方中杜鵑,"ORCU,COCU,CUOP,CUCA",大杜鵑/北方中杜鵑,Common/Oriental Cuckoo,Cuculus canorus/optatus
,杜鵑屬(XX杜鵑),,杜鵑屬,Cuculus sp.,Cuculus sp.
,杜鵑科,,杜鵑科,cuckoo sp. (Cuculidae sp.),Cuculidae sp.
,普通夜鷹,"GRNI,CAJO",普通夜鷹,Gray Nightjar,Caprimulgus jotaka
,南亞夜鷹,"SANI,CAAF",南亞夜鷹,Savanna Nightjar,Caprimulgus affinis
,夜鷹屬(XX夜鷹),,夜鷹屬,Caprimulgus sp.,Caprimulgus sp.
,白喉針尾雨燕,"WTNE,HICA",白喉針尾雨燕,White-throated Needletail,Hirundapus caudacutus
,灰喉針尾雨燕,"SBNE,HICO",灰喉針尾雨燕,Silver-backed Needletail,Hirundapus cochinchinensis
,針尾雨燕屬(XX針尾雨燕),,針尾雨燕屬,Hirundapus sp.,Hirundapus sp.
,短嘴金絲燕,"HISW,AEBR",短嘴金絲燕,Himalayan Swiftlet,Aerodramus brevirostris
,傑曼氏金絲燕,"GESW,AEGE",傑曼氏金絲燕,Germain's Swiftlet,Aerodramus germani
,叉尾雨燕,"FTSW,PASW,APPA",叉尾雨燕,Pacific Swift,Apus pacificus
,小雨燕,"HOSW,APNI",小雨燕,House Swift,Apus nipalensis
,雨燕屬(XX雨燕),,雨燕屬,Apus sp.,Apus sp.
,雨燕科(XX雨燕),,雨燕科,swift sp.,Apodidae sp.
,西方秧雞,"WEWR,WARA,RAAQ",西方秧雞,Water Rail,Rallus aquaticus
,東亞秧雞,"BCRA,RAIN",東亞秧雞,Brown-cheeked Rail,Rallus indicus
,灰胸秧雞,"SBRA,LEST",灰胸秧雞,Slaty-breasted Rail,Lewinia striata
,斑胸秧雞,"SPCR,POPO",斑胸秧雞,Spotted Crake,Porzana porzana
,紅冠水雞,"COMO,EUMO,GACH",紅冠水雞,Eurasian Moorhen,Gallinula chloropus
,白冠雞,"EUCO,FUAT",白冠雞,Eurasian Coot,Fulica atra
,灰頭紫水雞,"GHSW,POPO",灰頭紫水雞,Gray-headed Swamphen,Porphyrio poliocephalus
,董雞,"WATE,GACI",董雞,Watercock,Gallicrex cinerea
,白腹秧雞,"WBWA,AMPH",白腹秧雞,White-breasted Waterhen,Amaurornis phoenicurus
,白眉秧雞,"WBCR,AMCI",白眉秧雞,White-browed Crake,Amaurornis cinerea
,紅腳秧雞,"RLCR,RAFA",紅腳秧雞,Red-legged Crake,Rallina fasciata
,灰腳秧雞,"SLCR,RAEU",灰腳秧雞,Slaty-legged Crake,Rallina eurizonoides
,秧雞屬,,秧雞屬,Rallina sp.,Rallina sp.
,緋秧雞,"RBCR,ZAFU",緋秧雞,Ruddy-breasted Crake,Zapornia fusca
,紅腳苦惡鳥,"BRCR,ZAAK",紅腳苦惡鳥,Brown Crake,Zapornia akool
,小秧雞,"BACR,MACR,ZAPU",小秧雞,Baillon's Crake,Zapornia pusilla
,秧雞科(XX秧雞),,秧雞科,rail/crake sp.,Rallidae sp. (rail/crake sp.)
,簑羽鶴,"DECR,ANVI",簑羽鶴,Demoiselle Crane,Anthropoides virgo
,白鶴,"SICR,LELE",白鶴,Siberian Crane,Leucogeranus leucogeranus
,沙丘鶴,"SACR,ANCA",沙丘鶴,Sandhill Crane,Antigone canadensis
,白枕鶴,"WNCR,ANVI",白枕鶴,White-naped Crane,Antigone vipio
,灰鶴,"CCRA,COCR,GRGR",灰鶴,Common Crane,Grus grus
,白頭鶴,"HOCR,GRMO",白頭鶴,Hooded Crane,Grus monacha
,丹頂鶴,"RCCR,GRJA",丹頂鶴,Red-crowned Crane,Grus japonensis
,鶴科(XX鶴),,鶴科,crane sp.,Gruidae sp.
,高蹺鴴,"BWST,EBWS,HIHI",高蹺鴴,Black-winged Stilt,Himantopus himantopus
,反嘴鴴,"PIAV,REAV",反嘴鴴,Pied Avocet,Recurvirostra avosetta
,蠣鴴,"EUOY,HAOS",蠣鴴,Eurasian Oystercatcher,Haematopus ostralegus
,灰斑鴴,"BBPL,GRPL,PLSQ",灰斑鴴,Black-bellied Plover,Pluvialis squatarola
,美洲金斑鴴,"AMGP,AGPL,PLDO",美洲金斑鴴,American Golden-Plover,Pluvialis dominica
,太平洋金斑鴴,"PAGP,KŌLE,PGPL,PLFU",太平洋金斑鴴,Pacific Golden-Plover,Pluvialis fulva
,小辮鴴,"NOLA,VAVA",小辮鴴,Northern Lapwing,Vanellus vanellus
,跳鴴,"GHLA,VACI",跳鴴,Gray-headed Lapwing,Vanellus cinereus
,蒙古鴴,"LSAP,LSPL,LESD,LSDO,LESP,CHMO",蒙古鴴,Lesser Sand-Plover,Charadrius mongolus
,鐵嘴鴴,"GSAP,GSPL,GRSP,GRSD,GSDO,CHLE",鐵嘴鴴,Greater Sand-Plover,Charadrius leschenaultii
,蒙古/鐵嘴鴴,"LSPL,LSDO,LESP,LSAP,GSDO,GRSP,GSPL,LESD,GSAP,GRSD,CHMO,CHLE",蒙古/鐵嘴鴴,Lesser/Greater Sand-Plover,Charadrius mongolus/leschenaultii
,東方環頸鴴,"KEPL,CHAL",東方環頸鴴,Kentish Plover,Charadrius alexandrinus
,環頸鴴,"CRPL,RIPL,CHHI",環頸鴴,Common Ringed Plover,Charadrius hiaticula
,劍鴴,"LBPL,CHPL",劍鴴,Long-billed Plover,Charadrius placidus
,小環頸鴴,"LRPL,CHDU",小環頸鴴,Little Ringed Plover,Charadrius dubius
,東方紅胸鴴,"ORPL,CHVE",東方紅胸鴴,Oriental Plover,Charadrius veredus
,鴴科(XX鴴),,鴴科,plover sp.,Charadriidae sp.
,彩鷸,"GPSN,GRPS,ROBE",彩鷸,Greater Painted-Snipe,Rostratula benghalensis
,水雉,"PTJA,HYCH",水雉,Pheasant-tailed Jacana,Hydrophasianus chirurgus
,中杓鷸,"WHIM,NUPH",中杓鷸,Whimbrel,Numenius phaeopus
,小杓鷸,"LICU,LIWH,NUMI",小杓鷸,Little Curlew,Numenius minutus
,黦鷸,"FECU,EACU,NUMA",黦鷸,Far Eastern Curlew,Numenius madagascariensis
,大杓鷸,"EUCU,NUAR",大杓鷸,Eurasian Curlew,Numenius arquata
X,中/大杓鷸,"WHIM,EUCU,NUAR,NUPH",中/大杓鷸,Whimbrel/Eurasian Curlew,Numenius phaeopus/arquata
X,黦鷸/大杓鷸,"FECU,EUCU,EACU,NUAR,NUMA",黦鷸/大杓鷸,Far Eastern/Eurasian Curlew,Numenius madagascariensis/arquata
,杓鷸屬(XX杓鷸),,杓鷸屬,curlew sp.,Numenius sp.
,斑尾鷸,"BTGO,LILA",斑尾鷸,Bar-tailed Godwit,Limosa lapponica
,黑尾鷸,"BTGD,BTGO,LILI",黑尾鷸,Black-tailed Godwit,Limosa limosa
,塍鷸屬,,塍鷸屬,godwit sp.,Limosa sp.
,翻石鷸,"RUTU,ARIN",翻石鷸,Ruddy Turnstone,Arenaria interpres
,大濱鷸,"GRKN,CATE",大濱鷸,Great Knot,Calidris tenuirostris
,紅腹濱鷸,"REKN,CACA",紅腹濱鷸,Red Knot,Calidris canutus
,流蘇鷸,"RUFF,CAPU",流蘇鷸,Ruff,Calidris pugnax
,寬嘴鷸,"BBIS,BBSA,CAFA",寬嘴鷸,Broad-billed Sandpiper,Calidris falcinellus
,尖尾濱鷸,"SPTS,STSA,CAAC",尖尾濱鷸,Sharp-tailed Sandpiper,Calidris acuminata
,高蹺濱鷸,"STSA,CAHI",高蹺濱鷸,Stilt Sandpiper,Calidris himantopus
,彎嘴濱鷸,"CUSA,CAFE",彎嘴濱鷸,Curlew Sandpiper,Calidris ferruginea
,丹氏濱鷸,"TEST,CATE",丹氏濱鷸,Temminck's Stint,Calidris temminckii
,長趾濱鷸,"LTST,CASU",長趾濱鷸,Long-toed Stint,Calidris subminuta
,琵嘴鷸,"SBSA,CAPY",琵嘴鷸,Spoon-billed Sandpiper,Calidris pygmaea
,紅胸濱鷸,"RNST,CARU",紅胸濱鷸,Red-necked Stint,Calidris ruficollis
,三趾濱鷸,"SAND,HUNA,CAAL",三趾濱鷸,Sanderling,Calidris alba
,黑腹濱鷸,"DUNL,CAAL",黑腹濱鷸,Dunlin,Calidris alpina
X,彎嘴/黑腹濱鷸,"CUSA,DUNL,CAFE,CAAL",彎嘴/黑腹濱鷸,Curlew Sandpiper/Dunlin,Calidris ferruginea/alpina
,小濱鷸,"LIST,CAMI",小濱鷸,Little Stint,Calidris minuta
X,紅胸/小濱鷸,"LIST,RNST,CAMI,CARU",紅胸/小濱鷸,Red-necked/Little Stint,Calidris ruficollis/minuta
,黃胸鷸,"BBSA,CASU",黃胸鷸,Buff-breasted Sandpiper,Calidris subruficollis
,美洲尖尾濱鷸,"PESA,CAME",美洲尖尾濱鷸,Pectoral Sandpiper,Calidris melanotos
,濱鷸屬(XX濱鷸),,濱鷸屬,Calidris sp.,Calidris sp.
,半蹼鷸,"ASDO,LISE",半蹼鷸,Asian Dowitcher,Limnodromus semipalmatus
,長嘴半蹼鷸,"LBDO,LISC",長嘴半蹼鷸,Long-billed Dowitcher,Limnodromus scolopaceus
,小鷸,"JASN,LYMI",小鷸,Jack Snipe,Lymnocryptes minimus
,山鷸,"EUWO,SCRU",山鷸,Eurasian Woodcock,Scolopax rusticola
,孤田鷸,"SOSN,GASO",孤田鷸,Solitary Snipe,Gallinago solitaria
,大地鷸,"LASN,GAHA",大地鷸,Latham's Snipe,Gallinago hardwickii
,田鷸,"COSN,GAGA",田鷸,Common Snipe,Gallinago gallinago
,針尾鷸,"PTSN,PISN,GAST",針尾鷸,Pin-tailed Snipe,Gallinago stenura
X,田/針尾鷸,"COSN,PISN,PTSN,GAGA,GAST",田/針尾鷸,Common/Pin-tailed Snipe,Gallinago gallinago/stenura
,中地鷸,"SWSN,GAME",中地鷸,Swinhoe's Snipe,Gallinago megala
X,針尾鷸/中地鷸,"SWSN,PISN,PTSN,GAST,GAME",針尾鷸/中地鷸,Pin-tailed/Swinhoe's Snipe,Gallinago stenura/megala
,田鷸屬(XX田鷸),,田鷸屬,snipe sp.,Gallinago sp.
,反嘴鷸,"TESA,XECI",反嘴鷸,Terek Sandpiper,Xenus cinereus
,紅領瓣足鷸,"RNPH,PHLO",紅領瓣足鷸,Red-necked Phalarope,Phalaropus lobatus
,灰瓣足鷸,"REPH,GRPH,PHFU",灰瓣足鷸,Red Phalarope,Phalaropus fulicarius
X,紅領/灰瓣足鷸,"REPH,RNPH,GRPH,PHFU,PHLO",紅領/灰瓣足鷸,Red-necked/Red Phalarope,Phalaropus lobatus/fulicarius
,瓣足鷸屬(XX瓣足鷸),,瓣足鷸屬,phalarope sp.,Phalaropus sp.
,磯鷸,"COSA,ACHY",磯鷸,Common Sandpiper,Actitis hypoleucos
,白腰草鷸,"GRSA,TROC",白腰草鷸,Green Sandpiper,Tringa ochropus
,黃足鷸,"GTTA,TRBR",黃足鷸,Gray-tailed Tattler,Tringa brevipes
,美洲黃足鷸,"WATA,TRIN",美洲黃足鷸,Wandering Tattler,Tringa incana
,鶴鷸,"SPRE,TRER",鶴鷸,Spotted Redshank,Tringa erythropus
,青足鷸,"COMG,COGR,TRNE",青足鷸,Common Greenshank,Tringa nebularia
,諾氏鷸,"NOGR,TRGU",諾氏鷸,Nordmann's Greenshank,Tringa guttifer
X,青足鷸/諾氏鷸,"COGR,NOGR,COMG,TRNE,TRGU",青足鷸/諾氏鷸,Common/Nordmann's Greenshank,Tringa nebularia/guttifer
,小青足鷸,"MASA,TRST",小青足鷸,Marsh Sandpiper,Tringa stagnatilis
