中文名,學名,英文名,科名
庫頁島柳鶯,Phylloscopus borealoides,Sakhalin Leaf Warbler,柳鶯科 Phylloscopidae
日本柳鶯,Phylloscopus xanthodryas,Japanese Leaf Warbler,柳鶯科 Phylloscopidae
極北柳鶯,Phylloscopus borealis,Arctic Warbler,柳鶯科 Phylloscopidae
勘察加柳鶯,Phylloscopus examinandus,Kamchatka Leaf Warbler,柳鶯科 Phylloscopidae
栗頭鶲鶯,Phylloscopus castaniceps,Chestnut-crowned Warbler,柳鶯科 Phylloscopidae
黑眉柳鶯,Phylloscopus ricketti,Sulphur-breasted Warbler,柳鶯科 Phylloscopidae
克氏冠紋柳鶯,Phylloscopus claudiae,Claudia's Leaf Warbler,柳鶯科 Phylloscopidae
哈氏冠紋柳鶯,Phylloscopus goodsoni,Hartert's Leaf Warbler,柳鶯科 Phylloscopidae
短尾鶯,Urosphena squameiceps,Asian Stubtail,樹鶯科 Scotocercidae
棕面鶯,Abroscopus albogularis,Rufous-faced Warbler,樹鶯科 Scotocercidae
日本樹鶯,Horornis diphone,Japanese Bush Warbler,樹鶯科 Scotocercidae
遠東樹鶯,Horornis canturians,Manchurian Bush Warbler,樹鶯科 Scotocercidae
小鶯,Horornis fortipes,Brownish-flanked Bush Warbler,樹鶯科 Scotocercidae
深山鶯,Horornis acanthizoides,Yellowish-bellied Bush Warbler,樹鶯科 Scotocercidae
紅頭山雀,Aegithalos concinnus,Black-throated Tit,長尾山雀科 Aegithalidae
漠地林鶯,Sylvia nana,Asian Desert Warbler,鶯科 Sylviidae
白喉林鶯,Sylvia curruca,Lesser Whitethroat,鶯科 Sylviidae
褐頭花翼,Fulvetta formosana,Taiwan Fulvetta,鶯科 Sylviidae
粉紅鸚嘴,Sinosuthora webbiana,Vinous-throated Parrotbill,鶯科 Sylviidae
黃羽鸚嘴,Suthora verreauxi,Golden Parrotbill,鶯科 Sylviidae
栗耳鳳鶥,Yuhina torqueola,Indochinese Yuhina,繡眼科 Zosteropidae
冠羽畫眉,Yuhina brunneiceps,Taiwan Yuhina,繡眼科 Zosteropidae
紅脇繡眼,Zosterops erythropleurus,Chestnut-flanked White-eye,繡眼科 Zosteropidae
日菲繡眼,Zosterops japonicus,Warbling White-eye,繡眼科 Zosteropidae
斯氏繡眼,Zosterops simplex,Swinhoe's White-eye,繡眼科 Zosteropidae
低地繡眼,Zosterops meyeni,Lowland White-eye,繡眼科 Zosteropidae
山紅頭,Cyanoderma ruficeps,Rufous-capped Babbler,畫眉科 Timaliidae
小彎嘴,Pomatorhinus musicus,Taiwan Scimitar-Babbler,畫眉科 Timaliidae
大彎嘴,Megapomatorhinus erythrocnemis,Black-necklaced Scimitar-Babbler,畫眉科 Timaliidae
頭烏線,Schoeniparus brunneus,Dusky Fulvetta,雀眉科 Pellorneidae 
繡眼畫眉,Alcippe morrisonia,Morrison's Fulvetta,噪眉科 Leiothrichidae
黑臉噪鶥,Garrulax perspicillatus,Masked Laughingthrush,噪眉科 Leiothrichidae
大陸畫眉,Garrulax canorus,Chinese Hwamei,噪眉科 Leiothrichidae
台灣畫眉,Garrulax taewanus,Taiwan Hwamei,噪眉科 Leiothrichidae
台灣白喉噪眉,Ianthocincla ruficeps,Rufous-crowned Laughingthrush,噪眉科 Leiothrichidae
黑喉噪眉,Ianthocincla chinensis,Black-throated Laughingthrush,噪眉科 Leiothrichidae
棕噪眉,Ianthocincla poecilorhyncha,Rusty Laughingthrush,噪眉科 Leiothrichidae
台灣噪眉,Trochalopteron morrisonianum,White-whiskered Laughingthrush,噪眉科 Leiothrichidae
白耳畫眉,Heterophasia auricularis,White-eared Sibia,噪眉科 Leiothrichidae
黃胸藪眉,Liocichla steerii,Steere's Liocichla,噪眉科 Leiothrichidae
紋翼畫眉,Actinodura morrisoniana,Taiwan Barwing,噪眉科 Leiothrichidae
戴菊鳥,Regulus regulus,Goldcrest,戴菊科 Regulidae
火冠戴菊鳥,Regulus goodfellowi,Flamecrest,戴菊科 Regulidae
茶腹鳾,Sitta europaea,Eurasian Nuthatch,鳾科 Sittidae
鷦鷯,Troglodytes troglodytes,Eurasian Wren,鷦鷯科 Troglodytidae
河烏,Cinclus pallasii,Brown Dipper,河烏科 Cinclidae
亞洲輝椋鳥,Aplonis panayensis,Asian Glossy Starling,八哥科 Sturnidae
歐洲椋鳥,Sturnus vulgaris,European Starling,八哥科 Sturnidae
粉紅椋鳥,Pastor roseus,Rosy Starling,八哥科 Sturnidae
北椋鳥,Agropsar sturninus,Daurian Starling,八哥科 Sturnidae
小椋鳥,Agropsar philippensis,Chestnut-cheeked Starling,八哥科 Sturnidae
黑領椋鳥,Gracupica nigricollis,Black-collared Starling,八哥科 Sturnidae
灰背椋鳥,Sturnia sinensis,White-shouldered Starling,八哥科 Sturnidae
灰頭椋鳥,Sturnia malabarica,Chestnut-tailed Starling,八哥科 Sturnidae
絲光椋鳥,Spodiopsar sericeus,Red-billed Starling,八哥科 Sturnidae
灰椋鳥,Spodiopsar cineraceus,White-cheeked Starling,八哥科 Sturnidae
家八哥,Acridotheres tristis,Common Myna,八哥科 Sturnidae
林八哥,Acridotheres fuscus,Jungle Myna,八哥科 Sturnidae
白尾八哥,Acridotheres javanicus,Javan Myna,八哥科 Sturnidae
八哥,Acridotheres cristatellus,Crested Myna,八哥科 Sturnidae
白氏地鶇,Zoothera aurea,White's Thrush,鶇科 Turdidae
虎斑地鶇,Zoothera dauma,Scaly Thrush,鶇科 Turdidae
白眉地鶇,Geokichla sibirica,Siberian Thrush,鶇科 Turdidae
橙頭地鶇,Geokichla citrina,Orange-headed Thrush,鶇科 Turdidae
寶興歌鶇,Otocichla mupinensis,Chinese Thrush,鶇科 Turdidae
中國黑鶇,Turdus mandarinus,Chinese Blackbird,鶇科 Turdidae
白頭鶇,Turdus niveiceps,Taiwan Thrush,鶇科 Turdidae
烏灰鶇,Turdus cardis,Japanese Thrush,鶇科 Turdidae
灰背鶇,Turdus hortulorum,Gray-backed Thrush,鶇科 Turdidae
白眉鶇,Turdus obscurus,Eyebrowed Thrush,鶇科 Turdidae
赤腹鶇,Turdus chrysolaus,Brown-headed Thrush,鶇科 Turdidae
白腹鶇,Turdus pallidus,Pale Thrush,鶇科 Turdidae
黑頸鶇,Turdus atrogularis,Black-throated Thrush,鶇科 Turdidae
赤頸鶇,Turdus ruficollis,Red-throated Thrush,鶇科 Turdidae
斑點鶇,Turdus eunomus,Dusky Thrush,鶇科 Turdidae
紅尾鶇,Turdus naumanni,Naumann's Thrush,鶇科 Turdidae
灰斑鶲,Muscicapa griseisticta,Gray-streaked Flycatcher,鶲科 Muscicapidae
烏鶲,Muscicapa sibirica,Dark-sided Flycatcher,鶲科 Muscicapidae
紅尾鶲,Muscicapa ferruginea,Ferruginous Flycatcher,鶲科 Muscicapidae
寬嘴鶲,Muscicapa dauurica,Asian Brown Flycatcher,鶲科 Muscicapidae
褐胸鶲,Muscicapa muttui,Brown-breasted Flycatcher,鶲科 Muscicapidae
斑鶲,Muscicapa striata,Spotted Flycatcher,鶲科 Muscicapidae
鵲鴝,Copsychus saularis,Oriental Magpie-Robin,鶲科 Muscicapidae
白腰鵲鴝,Copsychus malabaricus,White-rumped Shama,鶲科 Muscicapidae
海南藍仙鶲,Cyornis hainanus,Hainan Blue Flycatcher,鶲科 Muscicapidae
山藍仙鶲,Cyornis banyumas,Hill Blue Flycatcher,鶲科 Muscicapidae
白喉林鶲,Cyornis brunneatus,Brown-chested Jungle-Flycatcher,鶲科 Muscicapidae
棕腹大仙鶲,Niltava davidi,Fujian Niltava,鶲科 Muscicapidae
棕腹仙鶲,Niltava sundara,Rufous-bellied Niltava,鶲科 Muscicapidae
黃腹琉璃,Niltava vivida,Vivid Niltava,鶲科 Muscicapidae
白腹琉璃,Cyanoptila cyanomelana,Blue-and-white Flycatcher,鶲科 Muscicapidae
琉璃藍鶲,Cyanoptila cumatilis,Zappey's Flycatcher,鶲科 Muscicapidae
銅藍鶲,Eumyias thalassinus,Verditer Flycatcher,鶲科 Muscicapidae
白喉短翅鶇,Brachypteryx leucophris,Lesser Shortwing,鶲科 Muscicapidae
小翼鶇,Brachypteryx goodfellowi,Taiwan Shortwing,鶲科 Muscicapidae
紅尾歌鴝,Larvivora sibilans,Rufous-tailed Robin,鶲科 Muscicapidae
日本歌鴝,Larvivora akahige,Japanese Robin,鶲科 Muscicapidae
琉球歌鴝,Larvivora komadori,Ryukyu Robin,鶲科 Muscicapidae
藍歌鴝,Larvivora cyane,Siberian Blue Robin,鶲科 Muscicapidae
藍喉鴝,Luscinia svecica,Bluethroat,鶲科 Muscicapidae
台灣紫嘯鶇,Myophonus insularis,Taiwan Whistling-Thrush,鶲科 Muscicapidae
白斑紫嘯鶇,Myophonus caeruleus,Blue Whistling-Thrush,鶲科 Muscicapidae
小剪尾,Enicurus scouleri,Little Forktail,鶲科 Muscicapidae
野鴝,Calliope calliope,Siberian Rubythroat,鶲科 Muscicapidae
白尾鴝,Myiomela leucura,White-tailed Robin,鶲科 Muscicapidae
藍尾鴝,Tarsiger cyanurus,Red-flanked Bluetail,鶲科 Muscicapidae
白眉林鴝,Tarsiger indicus,White-browed Bush-Robin,鶲科 Muscicapidae
栗背林鴝,Tarsiger johnstoniae,Collared Bush-Robin,鶲科 Muscicapidae
白眉鶲,Ficedula zanthopygia,Yellow-rumped Flycatcher,鶲科 Muscicapidae
黃眉黃鶲,Ficedula narcissina,Narcissus Flycatcher,鶲科 Muscicapidae
白眉黃鶲,Ficedula mugimaki,Mugimaki Flycatcher,鶲科 Muscicapidae
鏽胸藍姬鶲,Ficedula erithacus,Slaty-backed Flycatcher,鶲科 Muscicapidae
黃胸青鶲,Ficedula hyperythra,Snowy-browed Flycatcher,鶲科 Muscicapidae
橙胸姬鶲,Ficedula strophiata,Rufous-gorgeted Flycatcher,鶲科 Muscicapidae
紅喉鶲,Ficedula albicilla,Taiga Flycatcher,鶲科 Muscicapidae
紅胸鶲,Ficedula parva,Red-breasted Flycatcher,鶲科 Muscicapidae
藍額紅尾鴝,Phoenicurus frontalis,Blue-fronted Redstart,鶲科 Muscicapidae
鉛色水鶇,Phoenicurus fuliginosus,Plumbeous Redstart,鶲科 Muscicapidae
白頂溪鴝,Phoenicurus leucocephalus,White-capped Redstart,鶲科 Muscicapidae
赭紅尾鴝,Phoenicurus ochruros,Black Redstart,鶲科 Muscicapidae
黃尾鴝,Phoenicurus auroreus,Daurian Redstart,鶲科 Muscicapidae
白喉磯鶇,Monticola gularis,White-throated Rock-Thrush,鶲科 Muscicapidae
藍磯鶇,Monticola solitarius,Blue Rock-Thrush,鶲科 Muscicapidae
黑喉鴝,Saxicola maurus,Siberian Stonechat,鶲科 Muscicapidae
白斑黑石䳭,Saxicola caprata,Pied Bushchat,鶲科 Muscicapidae
灰叢鴝,Saxicola ferreus,Gray Bushchat,鶲科 Muscicapidae
穗䳭,Oenanthe oenanthe,Northern Wheatear,鶲科 Muscicapidae
沙䳭,Oenanthe isabellina,Isabelline Wheatear,鶲科 Muscicapidae
漠䳭,Oenanthe deserti,Desert Wheatear,鶲科 Muscicapidae
白頂䳭,Oenanthe pleschanka,Pied Wheatear,鶲科 Muscicapidae
黃連雀,Bombycilla garrulus,Bohemian Waxwing,連雀科 Bombycillidae
朱連雀,Bombycilla japonica,Japanese Waxwing,連雀科 Bombycillidae
綠啄花,Dicaeum minullum,Plain Flowerpecker,啄花科 Dicaeidae
紅胸啄花,Dicaeum ignipectus,Fire-breasted Flowerpecker,啄花科 Dicaeidae
黃腹花蜜鳥,Cinnyris jugularis,Olive-backed Sunbird,吸蜜鳥科 Nectariniidae
藍喉太陽鳥,Aethopyga gouldiae,Mrs. Gould's Sunbird,吸蜜鳥科 Nectariniidae
叉尾太陽鳥,Aethopyga christinae,Fork-tailed Sunbird,吸蜜鳥科 Nectariniidae
橙頰梅花雀,Estrilda melpoda,Orange-cheeked Waxbill,梅花雀科 Estrildidae
白喉文鳥,Euodice malabarica,Indian Silverbill,梅花雀科 Estrildidae
白腰文鳥,Lonchura striata,White-rumped Munia,梅花雀科 Estrildidae
斑文鳥,Lonchura punctulata,Scaly-breasted Munia,梅花雀科 Estrildidae
黑頭文鳥,Lonchura atricapilla,Chestnut Munia,梅花雀科 Estrildidae
岩鷚,Prunella collaris,Alpine Accentor,岩鷚科 Prunellidae
棕眉山岩鷚,Prunella montanella,Siberian Accentor,岩鷚科 Prunellidae
家麻雀,Passer domesticus,House Sparrow,麻雀科 Passeridae
山麻雀,Passer cinnamomeus,Russet Sparrow,麻雀科 Passeridae
麻雀,Passer montanus,Eurasian Tree Sparrow,麻雀科 Passeridae
山鶺鴒,Dendronanthus indicus,Forest Wagtail,鶺鴒科 Motacillidae
灰鶺鴒,Motacilla cinerea,Gray Wagtail,鶺鴒科 Motacillidae
西方黃鶺鴒,Motacilla flava,Western Yellow Wagtail,鶺鴒科 Motacillidae
東方黃鶺鴒,Motacilla tschutschensis,Eastern Yellow Wagtail,鶺鴒科 Motacillidae
黃頭鶺鴒,Motacilla citreola,Citrine Wagtail,鶺鴒科 Motacillidae
日本鶺鴒,Motacilla grandis,Japanese Wagtail,鶺鴒科 Motacillidae
白鶺鴒,Motacilla alba,White Wagtail,鶺鴒科 Motacillidae
大花鷚,Anthus richardi,Richard's Pipit,鶺鴒科 Motacillidae
稻田鷚,Anthus rufulus,Paddyfield Pipit,鶺鴒科 Motacillidae
布萊氏鷚,Anthus godlewskii,Blyth's Pipit,鶺鴒科 Motacillidae
草地鷚,Anthus pratensis,Meadow Pipit,鶺鴒科 Motacillidae
粉紅胸鷚,Anthus roseatus,Rosy Pipit,鶺鴒科 Motacillidae
林鷚,Anthus trivialis,Tree Pipit,鶺鴒科 Motacillidae
樹鷚,Anthus hodgsoni,Olive-backed Pipit,鶺鴒科 Motacillidae
白背鷚,Anthus gustavi,Pechora Pipit,鶺鴒科 Motacillidae
赤喉鷚,Anthus cervinus,Red-throated Pipit,鶺鴒科 Motacillidae
水鷚,Anthus spinoletta,Water Pipit,鶺鴒科 Motacillidae
黃腹鷚,Anthus rubescens,American Pipit,鶺鴒科 Motacillidae
花雀,Fringilla montifringilla,Brambling,雀科 Fringillidae
臘嘴雀,Coccothraustes coccothraustes,Hawfinch,雀科 Fringillidae
小桑鳲,Eophona migratoria,Yellow-billed Grosbeak,雀科 Fringillidae
桑鳲,Eophona personata,Japanese Grosbeak,雀科 Fringillidae
普通朱雀,Carpodacus erythrinus,Common Rosefinch,雀科 Fringillidae
台灣朱雀,Carpodacus formosanus,Taiwan Rosefinch,雀科 Fringillidae
北朱雀,Carpodacus roseus,Pallas's Rosefinch,雀科 Fringillidae
褐鷽,Pyrrhula nipalensis,Brown Bullfinch,雀科 Fringillidae
灰鷽,Pyrrhula erythaca,Gray-headed Bullfinch,雀科 Fringillidae
歐亞鷽,Pyrrhula pyrrhula,Eurasian Bullfinch,雀科 Fringillidae
金翅雀,Chloris sinica,Oriental Greenfinch,雀科 Fringillidae
赤胸朱頂雀,Linaria cannabina,Eurasian Linnet,雀科 Fringillidae
普通朱頂雀,Acanthis flammea,Common Redpoll,雀科 Fringillidae
紅交嘴雀,Loxia curvirostra,Red Crossbill,雀科 Fringillidae
黃雀,Spinus spinus,Eurasian Siskin,雀科 Fringillidae
鐵爪鵐,Calcarius lapponicus,Lapland Longspur,鐵爪鵐科 Calcariidae
雪鵐,Plectrophenax nivalis,Snow Bunting,鐵爪鵐科 Calcariidae
冠鵐,Emberiza lathami,Crested Bunting,鵐科 Emberizidae
黑頭鵐,Emberiza melanocephala,Black-headed Bunting,鵐科 Emberizidae
褐頭鵐,Emberiza bruniceps,Red-headed Bunting,鵐科 Emberizidae
赤胸鵐,Emberiza fucata,Chestnut-eared Bunting,鵐科 Emberizidae
草鵐,Emberiza cioides,Meadow Bunting,鵐科 Emberizidae
白頂鵐,Emberiza stewarti,White-capped Bunting,鵐科 Emberizidae
白頭鵐,Emberiza leucocephalos,Pine Bunting,鵐科 Emberizidae
黃喉鵐,Emberiza elegans,Yellow-throated Bunting,鵐科 Emberizidae
紅頸葦鵐,Emberiza yessoensis,Ochre-rumped Bunting,鵐科 Emberizidae
葦鵐,Emberiza pallasi,Pallas's Bunting,鵐科 Emberizidae
蘆鵐,Emberiza schoeniclus,Reed Bunting,鵐科 Emberizidae
金鵐,Emberiza aureola,Yellow-breasted Bunting,鵐科 Emberizidae
小鵐,Emberiza pusilla,Little Bunting,鵐科 Emberizidae
田鵐,Emberiza rustica,Rustic Bunting,鵐科 Emberizidae
野鵐,Emberiza sulphurata,Yellow Bunting,鵐科 Emberizidae
黑臉鵐,Emberiza spodocephala,Black-faced Bunting,鵐科 Emberizidae
鏽鵐,Emberiza rutila,Chestnut Bunting,鵐科 Emberizidae
黃眉鵐,Emberiza chrysophrys,Yellow-browed Bunting,鵐科 Emberizidae
白眉鵐,Emberiza tristrami,Tristram's Bunting,鵐科 Emberizidae
灰鵐,Emberiza variabilis,Gray Bunting,鵐科 Emberizidae
稀樹草鵐,Passerculus sandwichensis,Savannah Sparrow,雀鵐科 Passerellidae
小加拿大雁,Branta hutchinsii ,Cackling Goose,雁鴨科 Anatidae
大紅鸛,Phoenicopterus roseus,Greater Flamingo,紅鶴科 Phoenicopteridae
喜馬拉雅中杜鵑,Cuculus saturatus,Himalayan Cuckoo,杜鵑科 Cuculidae
灰腰金絲燕,Collocalia marginata,Gray-rumped Swiftlet,雨燕科 Apodidae 
傑曼氏金絲燕,Aerodramus germani,Germain's Swiftlet,雨燕科 Apodidae 
日本叉尾海燕,Oceanodroma matsudairae,Matsudaira's Storm-Petrel,海燕科 Hydrobatidae
克島圓尾穴鳥,Pterodroma neglecta,Kermadec Petrel,鸌科 Procellariidae
褐耳鷹,Accipiter badius,Shikra,鷹科 Accipitridae
鵰鴞,Bubo bubo,Eurasian Eagle-Owl,鴟鴞科 Strigidae
黃爪隼,Falco naumanni,Lesser Kestrel,隼科 Falconidae
白胸燕鵙,Artamus leucorynchus,White-breasted Woodswallow,燕鵙科 Artamidae
蒙古百靈,Melanocorypha mongolica,Mongolian Lark,百靈科 Alaudidae
褐頭鶇,Turdus feae,Gray-sided Thrush,鶇科 Turdidae
酒紅朱雀,Carpodacus vinaceus,Vinaceous Rosefinch,雀科 Fringillidae
斑馬鳩,Geopelia striata,Zebra Dove,鳩鴿科 Columbidae
葵花鳳頭鸚鵡,Cacatua galerita,Sulphur-crested Cockatoo,鳳頭鸚鵡科 Cacatuidae
紅領綠鸚鵡,Psittacula krameri,Rose-ringed Parakeet,鸚鵡科 Psittacidae
紅耳鵯,Pycnonotus jocosus,Red-whiskered Bulbul,鵯科 Pycnonotidae
白頰噪眉,Ianthocincla sannio,White-browed Laughingthrush,噪眉科 Leiothrichidae
葡萄胸椋鳥,Acridotheres burmannicus,Vinous-breasted Starling,八哥科 Sturnidae
黑頭織雀,Ploceus cucullatus,Village Weaver,織布鳥科 Ploceidae
橫斑梅花雀,Estrilda astrild,Common Waxbill,梅花雀科 Estrildidae
